Transaction,Purchase Date,Customer ID,Gender,Marital Status,Homeowner,Children,Annual Income,City,State or Province,Country,Product Family,Product Department,Product Category,Units Sold,Revenue
1682,2022,3039,M,S,N,3,$10K - $30K,Los Angeles,CA,USA,Food,Starchy Foods,Starchy Foods,4,12.42
1683,2022,9535,F,M,Y,5,$30K - $50K,Portland,OR,USA,Non-Consumable,Household,Kitchen Products,3,18.29
1684,2022,4253,F,S,Y,2,$30K - $50K,Salem,OR,USA,Food,Snack Foods,Snack Foods,4,6.08
1685,2022,9318,M,M,Y,1,$110K - $130K,Spokane,WA,USA,Food,Frozen Foods,Vegetables,4,5.16
1686,2022,5590,M,M,N,5,$110K - $130K,Tacoma,WA,USA,Food,Canned Foods,Canned Soup,4,9.6
1687,2022,7862,M,M,Y,4,$30K - $50K,Spokane,WA,USA,Non-Consumable,Household,Kitchen Products,3,18.27
1688,2022,9225,F,M,Y,2,$30K - $50K,Portland,OR,USA,Food,Seafood,Seafood,5,4.16
1689,2022,2870,M,S,N,3,$10K - $30K,Beverly Hills,CA,USA,Non-Consumable,Periodicals,Magazines,2,9.41
1690,2022,6480,F,M,Y,0,$130K - $150K,San Diego,CA,USA,Food,Baked Goods,Bread,2,8.5
1691,2022,9491,M,M,Y,4,$10K - $30K,Salem,OR,USA,Food,Produce,Fruit,5,27.23
1692,2022,5000,F,S,N,0,$30K - $50K,Portland,OR,USA,Non-Consumable,Health and Hygiene,Hygiene,3,5.51
1693,2022,7276,M,S,N,0,$50K - $70K,Yakima,WA,USA,Food,Frozen Foods,Frozen Entrees,5,4.25
1694,2022,10173,F,M,N,0,$30K - $50K,Spokane,WA,USA,Food,Dairy,Dairy,4,9.31
1695,2022,391,M,S,Y,4,$30K - $50K,Beverly Hills,CA,USA,Food,Produce,Vegetables,6,33.66
1696,2022,4279,F,M,Y,1,$50K - $70K,Beverly Hills,CA,USA,Non-Consumable,Household,Hardware,6,11.71
1697,2022,8653,M,S,N,3,$50K - $70K,Bremerton,WA,USA,Food,Canned Foods,Vegetables,5,3.54
1698,2022,5303,M,M,Y,3,$110K - $130K,Tacoma,WA,USA,Food,Produce,Vegetables,5,17.7
1699,2022,1865,F,S,Y,2,$30K - $50K,Beverly Hills,CA,USA,Food,Deli,Side Dishes,2,4.27
1700,2022,4680,F,S,N,5,$50K - $70K,Beverly Hills,CA,USA,Food,Frozen Foods,Vegetables,5,16.12
1701,2022,9145,F,M,Y,1,$70K - $90K,Los Angeles,CA,USA,Non-Consumable,Household,Paper Products,4,9.31
1702,2022,9420,F,M,Y,1,$10K - $30K,Salem,OR,USA,Food,Baking Goods,Jams and Jellies,2,3.35
1703,2022,9703,M,S,N,1,$10K - $30K,San Diego,CA,USA,Drink,Dairy,Dairy,4,7.59
1704,2022,8577,F,M,Y,4,$90K - $110K,Yakima,WA,USA,Drink,Alcoholic Beverages,Beer and Wine,4,15.07
1705,2022,1696,M,S,Y,3,$130K - $150K,Walla Walla,WA,USA,Non-Consumable,Health and Hygiene,Bathroom Products,3,5.91
1706,2022,5360,M,S,N,2,$30K - $50K,Portland,OR,USA,Drink,Alcoholic Beverages,Beer and Wine,5,21.12
1707,2022,8724,M,S,N,4,$30K - $50K,Los Angeles,CA,USA,Food,Produce,Fruit,4,14.33
1708,2022,4584,F,M,Y,1,$130K - $150K,Portland,OR,USA,Non-Consumable,Household,Kitchen Products,2,4.18
1709,2022,5765,M,M,N,2,$30K - $50K,Beverly Hills,CA,USA,Non-Consumable,Health and Hygiene,Pain Relievers,5,15.92
1710,2022,5918,F,M,Y,0,$10K - $30K,Beverly Hills,CA,USA,Food,Baking Goods,Jams and Jellies,3,8.78
1711,2022,9794,F,S,Y,3,$150K +,Bellingham,WA,USA,Non-Consumable,Household,Bathroom Products,1,4.47
1712,2022,511,F,M,N,4,$10K - $30K,Spokane,WA,USA,Food,Deli,Side Dishes,4,4.95
1713,2022,7862,M,M,Y,4,$30K - $50K,Spokane,WA,USA,Food,Produce,Fruit,5,11.6
1714,2022,8181,F,M,Y,3,$50K - $70K,Tacoma,WA,USA,Drink,Beverages,Carbonated Beverages,5,4.39
1715,2022,7619,F,S,N,5,$50K - $70K,Beverly Hills,CA,USA,Food,Produce,Vegetables,3,17.37
1716,2022,4490,F,S,N,4,$10K - $30K,Salem,OR,USA,Food,Canned Foods,Canned Soup,4,7.52
1717,2022,6362,F,S,Y,4,$50K - $70K,San Francisco,CA,USA,Food,Produce,Vegetables,4,2.39
1718,2022,10080,M,M,Y,5,$130K - $150K,Beverly Hills,CA,USA,Non-Consumable,Health and Hygiene,Cold Remedies,5,21.23
1719,2022,3605,F,S,N,3,$30K - $50K,San Francisco,CA,USA,Non-Consumable,Household,Cleaning Supplies,1,6.57
1720,2022,7655,M,M,Y,3,$70K - $90K,Tacoma,WA,USA,Food,Baked Goods,Bread,5,34.41
1721,2022,10120,F,M,Y,1,$90K - $110K,Beverly Hills,CA,USA,Food,Produce,Specialty,4,3.87
1722,2022,2381,M,M,N,3,$30K - $50K,Beverly Hills,CA,USA,Drink,Beverages,Drinks,4,15.73
1723,2022,2335,M,S,Y,2,$10K - $30K,Tacoma,WA,USA,Food,Baking Goods,Baking Goods,2,6.94
1724,2022,3476,F,S,N,4,$30K - $50K,Bremerton,WA,USA,Food,Dairy,Dairy,3,20.22
1725,2022,7609,F,S,Y,1,$10K - $30K,Portland,OR,USA,Food,Produce,Vegetables,2,7.85
1726,2022,4700,M,S,N,4,$10K - $30K,Tacoma,WA,USA,Food,Canned Products,Fruit,4,7.72
1727,2022,2019,M,S,N,4,$10K - $30K,Spokane,WA,USA,Food,Canned Foods,Canned Soup,5,6.89
1728,2022,7502,M,S,N,1,$10K - $30K,Spokane,WA,USA,Food,Frozen Foods,Pizza,4,6
1729,2022,3352,F,M,Y,0,$70K - $90K,Beverly Hills,CA,USA,Food,Frozen Foods,Frozen Desserts,2,9.48
1730,2022,5063,M,M,Y,3,$30K - $50K,Bremerton,WA,USA,Drink,Beverages,Hot Beverages,3,7.06
1731,2022,8059,M,S,N,0,$30K - $50K,Tacoma,WA,USA,Food,Snack Foods,Snack Foods,2,8.51
1732,2022,3213,M,M,Y,2,$30K - $50K,Salem,OR,USA,Non-Consumable,Health and Hygiene,Hygiene,4,14.43
1733,2022,7255,M,M,Y,0,$30K - $50K,Portland,OR,USA,Food,Produce,Vegetables,4,8.75
1734,2022,2623,M,M,Y,2,$30K - $50K,San Diego,CA,USA,Food,Produce,Fruit,5,11.5
1735,2022,901,M,S,Y,2,$10K - $30K,Salem,OR,USA,Drink,Beverages,Pure Juice Beverages,4,11.84
1736,2022,4541,F,M,Y,1,$50K - $70K,Bremerton,WA,USA,Food,Produce,Packaged Vegetables,4,10.42
1737,2022,4188,F,S,N,1,$50K - $70K,Beverly Hills,CA,USA,Food,Seafood,Seafood,4,20.16
1738,2022,1665,F,S,Y,4,$70K - $90K,Los Angeles,CA,USA,Food,Frozen Foods,Frozen Desserts,4,9.9
1739,2022,9951,M,M,Y,4,$90K - $110K,Bremerton,WA,USA,Food,Snack Foods,Snack Foods,4,15.91
1740,2022,6932,F,S,N,2,$30K - $50K,Salem,OR,USA,Food,Canned Foods,Canned Soup,2,7.34
1741,2022,8921,M,S,Y,4,$70K - $90K,Salem,OR,USA,Food,Canned Foods,Canned Soup,4,10.69
1742,2022,8556,M,M,Y,0,$10K - $30K,Portland,OR,USA,Food,Produce,Vegetables,4,4.97
1743,2022,229,F,M,Y,1,$70K - $90K,Seattle,WA,USA,Food,Deli,Meat,4,8.01
1744,2022,2556,M,M,Y,2,$110K - $130K,Bremerton,WA,USA,Drink,Beverages,Drinks,5,16.69
1745,2022,8418,F,S,N,3,$30K - $50K,Walla Walla,WA,USA,Food,Baking Goods,Baking Goods,1,9.3
1746,2022,975,F,S,N,0,$130K - $150K,Beverly Hills,CA,USA,Non-Consumable,Household,Kitchen Products,5,24.48
1747,2022,1934,F,M,Y,2,$110K - $130K,Bellingham,WA,USA,Food,Canned Foods,Vegetables,1,3.32
1748,2022,400,F,M,Y,1,$50K - $70K,Yakima,WA,USA,Food,Dairy,Dairy,2,10.7
1749,2022,8451,M,S,N,2,$50K - $70K,San Diego,CA,USA,Food,Canned Foods,Canned Soup,4,7.8
1750,2022,5182,F,S,N,3,$30K - $50K,Seattle,WA,USA,Food,Produce,Fruit,4,7.45
1751,2022,9747,M,S,Y,5,$30K - $50K,Salem,OR,USA,Food,Frozen Foods,Vegetables,3,27.75
1752,2022,2682,F,S,N,3,$30K - $50K,Yakima,WA,USA,Food,Produce,Fruit,4,12.79
1753,2022,1932,M,M,Y,2,$30K - $50K,Seattle,WA,USA,Food,Baking Goods,Jams and Jellies,3,18.71
1754,2022,4288,F,M,Y,4,$50K - $70K,San Diego,CA,USA,Food,Canned Foods,Canned Tuna,3,5.34
1755,2022,5203,M,M,Y,5,$50K - $70K,Beverly Hills,CA,USA,Food,Canned Products,Fruit,4,8.42
1756,2022,9837,M,M,N,5,$30K - $50K,Tacoma,WA,USA,Food,Frozen Foods,Vegetables,5,11.99
1757,2022,4836,M,S,Y,5,$50K - $70K,Portland,OR,USA,Food,Dairy,Dairy,4,7.77
1758,2022,7247,M,S,N,2,$30K - $50K,San Diego,CA,USA,Drink,Beverages,Drinks,6,22.46
1759,2022,10022,M,M,Y,2,$10K - $30K,Beverly Hills,CA,USA,Non-Consumable,Household,Kitchen Products,3,9.48
1760,2022,3098,M,S,Y,3,$30K - $50K,Seattle,WA,USA,Non-Consumable,Health and Hygiene,Bathroom Products,5,15.81
1761,2022,9662,M,S,N,3,$50K - $70K,Beverly Hills,CA,USA,Non-Consumable,Household,Kitchen Products,6,29.27
1762,2022,7003,F,S,N,4,$30K - $50K,Seattle,WA,USA,Food,Deli,Side Dishes,3,12.58
1763,2022,7915,F,M,N,1,$110K - $130K,Salem,OR,USA,Food,Canned Foods,Vegetables,5,11.88
1764,2022,9512,F,M,Y,4,$10K - $30K,Yakima,WA,USA,Food,Produce,Vegetables,3,24.68
1765,2022,6024,F,M,Y,2,$10K - $30K,Beverly Hills,CA,USA,Food,Dairy,Dairy,4,12.31
1766,2022,6964,M,S,Y,1,$70K - $90K,Beverly Hills,CA,USA,Food,Produce,Vegetables,4,7.82
1767,2022,2343,F,S,Y,4,$10K - $30K,Seattle,WA,USA,Non-Consumable,Health and Hygiene,Bathroom Products,5,12.31
1768,2022,7203,M,S,N,4,$30K - $50K,Salem,OR,USA,Food,Frozen Foods,Breakfast Foods,5,4.96
1769,2022,5973,M,M,Y,2,$90K - $110K,Bremerton,WA,USA,Food,Baking Goods,Jams and Jellies,6,12.77
1770,2022,10068,F,M,Y,2,$50K - $70K,Yakima,WA,USA,Food,Frozen Foods,Frozen Desserts,4,11.06
1771,2022,4445,F,S,Y,2,$50K - $70K,Tacoma,WA,USA,Food,Produce,Packaged Vegetables,4,14.32
1772,2022,5855,F,S,N,2,$50K - $70K,Salem,OR,USA,Food,Starchy Foods,Starchy Foods,3,11.83
1773,2022,6531,F,S,Y,1,$110K - $130K,Salem,OR,USA,Food,Canned Foods,Vegetables,2,15.49
1774,2022,7607,F,M,Y,5,$50K - $70K,Tacoma,WA,USA,Drink,Alcoholic Beverages,Beer and Wine,5,14.82
1775,2022,4453,F,S,Y,1,$70K - $90K,Portland,OR,USA,Food,Produce,Fruit,5,24.45
1776,2022,7276,M,S,N,0,$50K - $70K,Yakima,WA,USA,Non-Consumable,Health and Hygiene,Bathroom Products,3,12.35
1777,2022,1428,F,S,N,5,$50K - $70K,San Diego,CA,USA,Food,Frozen Foods,Breakfast Foods,4,5.05
1778,2022,4850,F,M,Y,4,$110K - $130K,Seattle,WA,USA,Food,Snacks,Candy,4,20.58
1779,2022,1449,F,S,N,4,$50K - $70K,Yakima,WA,USA,Food,Snack Foods,Snack Foods,5,24.75
1780,2022,2035,F,M,N,5,$50K - $70K,Seattle,WA,USA,Food,Dairy,Dairy,4,12.4
1781,2022,392,F,M,Y,0,$30K - $50K,Salem,OR,USA,Food,Produce,Vegetables,5,27.55
1782,2022,740,M,S,Y,5,$130K - $150K,Portland,OR,USA,Drink,Alcoholic Beverages,Beer and Wine,4,1.74
1783,2022,115,F,S,Y,3,$90K - $110K,Los Angeles,CA,USA,Food,Snack Foods,Snack Foods,5,6.05
1784,2022,6425,M,M,Y,3,$130K - $150K,San Francisco,CA,USA,Food,Snack Foods,Snack Foods,1,7.56
1785,2022,466,M,M,Y,4,$50K - $70K,Beverly Hills,CA,USA,Drink,Beverages,Hot Beverages,2,5.26
1786,2022,1124,M,S,Y,3,$70K - $90K,Bremerton,WA,USA,Food,Frozen Foods,Frozen Desserts,5,17.64
1787,2022,10033,F,S,N,2,$30K - $50K,Bremerton,WA,USA,Non-Consumable,Household,Plastic Products,4,21.38
1788,2022,8687,F,S,N,2,$30K - $50K,Yakima,WA,USA,Non-Consumable,Household,Electrical,4,20.94
1789,2022,7558,M,S,Y,4,$70K - $90K,Salem,OR,USA,Non-Consumable,Household,Plastic Products,5,5.88
1790,2022,7873,M,S,Y,0,$30K - $50K,San Diego,CA,USA,Food,Snacks,Candy,4,13.94
1791,2022,8953,M,S,N,3,$30K - $50K,San Diego,CA,USA,Food,Produce,Vegetables,5,8.32
1792,2022,8255,M,S,N,1,$30K - $50K,Portland,OR,USA,Food,Starchy Foods,Starchy Foods,3,6.24
1793,2022,1979,M,S,N,5,$30K - $50K,Bremerton,WA,USA,Food,Deli,Side Dishes,4,10.74
1794,2022,5158,M,S,Y,3,$30K - $50K,Bremerton,WA,USA,Food,Baking Goods,Jams and Jellies,6,7.62
1795,2022,2086,M,M,N,1,$10K - $30K,Salem,OR,USA,Food,Breakfast Foods,Breakfast Foods,3,12.82
1796,2022,8403,M,M,Y,3,$70K - $90K,Portland,OR,USA,Food,Baked Goods,Bread,4,12.9
1797,2022,8837,F,S,N,4,$30K - $50K,Portland,OR,USA,Food,Frozen Foods,Meat,4,5.95
1798,2022,3491,F,M,N,3,$70K - $90K,Spokane,WA,USA,Food,Frozen Foods,Breakfast Foods,5,15.71
1799,2022,9815,M,M,Y,5,$30K - $50K,Spokane,WA,USA,Food,Frozen Foods,Meat,4,9.68
1800,2022,5019,F,M,Y,4,$50K - $70K,Yakima,WA,USA,Food,Starchy Foods,Starchy Foods,3,4.82
1801,2022,1097,M,S,Y,0,$90K - $110K,Yakima,WA,USA,Food,Frozen Foods,Vegetables,5,5.93
1802,2022,7081,M,M,N,2,$50K - $70K,Los Angeles,CA,USA,Food,Produce,Fruit,3,9.18
1803,2022,9064,F,M,Y,3,$50K - $70K,Tacoma,WA,USA,Food,Deli,Meat,5,30.98
1804,2022,9815,M,M,Y,5,$30K - $50K,Spokane,WA,USA,Food,Baking Goods,Baking Goods,3,5.13
1805,2022,3758,M,S,Y,3,$70K - $90K,San Diego,CA,USA,Food,Baking Goods,Jams and Jellies,4,8.82
1806,2022,6421,F,M,Y,3,$30K - $50K,Los Angeles,CA,USA,Food,Frozen Foods,Breakfast Foods,3,1.54
1807,2022,7076,F,S,Y,3,$10K - $30K,Los Angeles,CA,USA,Food,Snack Foods,Snack Foods,5,33.23
1808,2022,7206,F,S,N,1,$130K - $150K,Los Angeles,CA,USA,Non-Consumable,Household,Cleaning Supplies,3,26.55
1809,2022,7830,M,S,N,5,$30K - $50K,Seattle,WA,USA,Food,Canned Foods,Canned Soup,3,4.8
1810,2022,1207,M,S,Y,2,$30K - $50K,San Francisco,CA,USA,Food,Canned Foods,Canned Clams,4,13.86
1811,2022,5433,M,M,N,2,$130K - $150K,Salem,OR,USA,Food,Produce,Vegetables,3,7.96
1812,2022,417,F,S,N,1,$50K - $70K,Los Angeles,CA,USA,Non-Consumable,Household,Kitchen Products,4,14.59
1813,2022,9145,F,M,Y,1,$70K - $90K,Los Angeles,CA,USA,Food,Baked Goods,Bread,5,20.63
1814,2022,5568,M,M,N,2,$30K - $50K,Yakima,WA,USA,Drink,Alcoholic Beverages,Beer and Wine,4,3.78
1815,2022,7051,F,M,N,4,$30K - $50K,Spokane,WA,USA,Food,Produce,Vegetables,5,23
1816,2022,1736,F,S,Y,0,$70K - $90K,Salem,OR,USA,Food,Dairy,Dairy,3,23.73
1817,2022,2443,F,S,N,4,$30K - $50K,Salem,OR,USA,Food,Dairy,Dairy,4,7.07
1818,2022,3308,M,M,Y,1,$150K +,Salem,OR,USA,Food,Snack Foods,Snack Foods,3,21.53
1819,2022,3577,F,M,Y,4,$70K - $90K,Portland,OR,USA,Food,Snack Foods,Snack Foods,5,17.99
1820,2022,4487,F,S,N,2,$30K - $50K,Bellingham,WA,USA,Drink,Beverages,Drinks,2,10.54
1821,2022,4116,M,M,Y,5,$50K - $70K,Portland,OR,USA,Food,Starchy Foods,Starchy Foods,6,13.88
1822,2022,4608,F,S,N,0,$30K - $50K,Portland,OR,USA,Food,Baking Goods,Baking Goods,5,21.38
1823,2022,7052,F,M,Y,0,$90K - $110K,Yakima,WA,USA,Food,Seafood,Seafood,3,10.06
1824,2022,8206,M,S,Y,4,$130K - $150K,Yakima,WA,USA,Food,Produce,Vegetables,4,10.9
1825,2022,8310,F,M,Y,1,$30K - $50K,Salem,OR,USA,Food,Produce,Vegetables,2,8.42
1826,2022,2201,F,M,Y,2,$30K - $50K,Spokane,WA,USA,Food,Deli,Side Dishes,4,7.48
1827,2022,6194,M,M,Y,5,$10K - $30K,Portland,OR,USA,Food,Baking Goods,Baking Goods,3,9.08
1828,2022,4873,M,S,Y,0,$30K - $50K,Tacoma,WA,USA,Food,Snack Foods,Snack Foods,3,17.7
1829,2022,769,F,S,N,4,$30K - $50K,Spokane,WA,USA,Food,Dairy,Dairy,2,7.49
1830,2022,4342,M,M,Y,4,$10K - $30K,Salem,OR,USA,Food,Baking Goods,Jams and Jellies,5,2.65
1831,2022,3469,M,M,Y,4,$50K - $70K,San Diego,CA,USA,Food,Frozen Foods,Frozen Desserts,2,4.75
1832,2022,5598,F,M,Y,4,$30K - $50K,San Diego,CA,USA,Food,Snack Foods,Snack Foods,5,28.64
1833,2022,4165,F,S,N,4,$30K - $50K,Bremerton,WA,USA,Food,Produce,Vegetables,6,21.84
1834,2022,9851,M,S,N,0,$10K - $30K,Bremerton,WA,USA,Food,Produce,Vegetables,4,20.07
1835,2022,7830,M,S,N,5,$30K - $50K,Seattle,WA,USA,Food,Frozen Foods,Frozen Desserts,4,5.68
1836,2022,2471,M,S,Y,2,$10K - $30K,Seattle,WA,USA,Food,Snack Foods,Snack Foods,4,9.56
1837,2022,769,F,S,N,4,$30K - $50K,Spokane,WA,USA,Food,Snacks,Candy,6,18.7
1838,2022,7780,M,S,N,3,$70K - $90K,Salem,OR,USA,Food,Produce,Specialty,6,24.86
1839,2022,9852,M,S,N,3,$10K - $30K,San Diego,CA,USA,Food,Baking Goods,Baking Goods,4,15.98
1840,2022,4776,M,M,Y,4,$10K - $30K,Beverly Hills,CA,USA,Drink,Alcoholic Beverages,Beer and Wine,4,11.68
1841,2022,5158,M,S,Y,3,$30K - $50K,Bremerton,WA,USA,Food,Baking Goods,Jams and Jellies,5,10.62
1842,2022,3567,M,M,Y,1,$70K - $90K,Spokane,WA,USA,Food,Dairy,Dairy,5,6.4
1843,2022,2890,F,M,Y,4,$30K - $50K,Los Angeles,CA,USA,Food,Baking Goods,Jams and Jellies,5,10.06
1844,2022,4410,F,M,N,4,$50K - $70K,Salem,OR,USA,Food,Baking Goods,Baking Goods,5,9.41
1845,2022,7117,M,M,Y,4,$90K - $110K,Seattle,WA,USA,Non-Consumable,Health and Hygiene,Bathroom Products,5,6.03
1846,2022,6775,F,S,N,4,$30K - $50K,Seattle,WA,USA,Food,Frozen Foods,Breakfast Foods,4,12.1
1847,2022,3387,F,M,Y,1,$30K - $50K,Portland,OR,USA,Food,Frozen Foods,Vegetables,5,30.89
1848,2022,7133,F,M,Y,2,$30K - $50K,Walla Walla,WA,USA,Food,Seafood,Seafood,2,1.87
1849,2022,3987,M,M,Y,4,$30K - $50K,Beverly Hills,CA,USA,Food,Frozen Foods,Meat,4,6.44
1850,2022,3253,M,S,Y,3,$70K - $90K,Salem,OR,USA,Food,Baking Goods,Jams and Jellies,3,8
1851,2022,5819,F,M,Y,2,$50K - $70K,Seattle,WA,USA,Food,Snacks,Candy,2,5.98
1852,2022,3937,F,S,N,2,$110K - $130K,Salem,OR,USA,Food,Frozen Foods,Frozen Entrees,2,4.7
1853,2022,4490,F,S,N,4,$10K - $30K,Salem,OR,USA,Food,Frozen Foods,Vegetables,4,9.17
1854,2022,4739,M,M,Y,2,$90K - $110K,Seattle,WA,USA,Food,Frozen Foods,Breakfast Foods,5,8.4
1855,2022,1634,F,M,Y,1,$10K - $30K,Bremerton,WA,USA,Food,Produce,Fruit,5,10.63
1856,2022,6186,M,M,Y,4,$50K - $70K,Seattle,WA,USA,Non-Consumable,Household,Bathroom Products,3,1.38
1857,2022,5867,M,S,Y,3,$30K - $50K,Portland,OR,USA,Food,Canned Foods,Vegetables,4,6.61
1858,2022,6194,M,M,Y,5,$10K - $30K,Portland,OR,USA,Food,Snack Foods,Snack Foods,4,22.27
1859,2022,8731,F,M,N,1,$50K - $70K,Bremerton,WA,USA,Food,Canned Foods,Vegetables,4,18.11
1860,2022,1524,F,M,Y,4,$10K - $30K,Salem,OR,USA,Drink,Alcoholic Beverages,Beer and Wine,6,9.24
1861,2022,2304,M,S,N,1,$30K - $50K,Salem,OR,USA,Food,Dairy,Dairy,3,25.99
1862,2022,3302,M,M,Y,2,$30K - $50K,Salem,OR,USA,Food,Snack Foods,Snack Foods,4,18.65
1863,2022,8594,F,M,Y,0,$130K - $150K,Beverly Hills,CA,USA,Food,Canned Foods,Canned Shrimp,3,8.28
1864,2022,9814,M,S,Y,0,$50K - $70K,Los Angeles,CA,USA,Non-Consumable,Household,Kitchen Products,4,2.42
1865,2022,1378,M,S,N,0,$50K - $70K,Portland,OR,USA,Non-Consumable,Periodicals,Magazines,3,4.16
1866,2022,9419,M,S,Y,0,$50K - $70K,Portland,OR,USA,Food,Canned Foods,Canned Soup,4,6.79
1867,2022,9931,F,M,Y,3,$50K - $70K,Beverly Hills,CA,USA,Food,Frozen Foods,Vegetables,4,12.31
1868,2022,3528,F,M,Y,4,$30K - $50K,Tacoma,WA,USA,Food,Snack Foods,Snack Foods,5,11.81
1869,2022,8181,F,M,Y,3,$50K - $70K,Tacoma,WA,USA,Food,Breakfast Foods,Breakfast Foods,5,5.16
1870,2022,9825,F,S,Y,2,$90K - $110K,Salem,OR,USA,Non-Consumable,Health and Hygiene,Pain Relievers,5,19.07
1871,2022,1838,M,S,Y,3,$10K - $30K,San Diego,CA,USA,Food,Frozen Foods,Frozen Desserts,3,4.69
1872,2022,9933,F,M,Y,3,$10K - $30K,Bellingham,WA,USA,Food,Deli,Meat,3,2.39
1873,2022,7035,F,M,Y,3,$50K - $70K,Los Angeles,CA,USA,Food,Dairy,Dairy,3,25.12
1874,2022,6511,M,M,N,5,$30K - $50K,Los Angeles,CA,USA,Food,Canned Products,Fruit,4,27.14
1875,2022,8062,F,M,N,1,$10K - $30K,San Diego,CA,USA,Drink,Alcoholic Beverages,Beer and Wine,5,22.88
1876,2022,7822,F,S,N,2,$30K - $50K,Bremerton,WA,USA,Food,Produce,Fruit,2,10.03
1877,2022,10176,M,M,Y,3,$70K - $90K,Salem,OR,USA,Food,Canned Foods,Canned Anchovies,4,18.02
1878,2022,6806,M,S,Y,4,$30K - $50K,Beverly Hills,CA,USA,Non-Consumable,Periodicals,Magazines,5,20.22
1879,2022,4633,M,M,Y,1,$50K - $70K,Los Angeles,CA,USA,Food,Deli,Meat,3,18.07
1880,2022,6496,M,M,Y,5,$30K - $50K,Bremerton,WA,USA,Food,Baked Goods,Bread,3,15.12
1881,2022,9837,M,M,N,5,$30K - $50K,Tacoma,WA,USA,Food,Baking Goods,Jams and Jellies,5,8.55
1882,2022,8269,F,S,N,4,$30K - $50K,Salem,OR,USA,Drink,Beverages,Pure Juice Beverages,2,5.7
1883,2022,2848,F,S,N,4,$10K - $30K,Los Angeles,CA,USA,Food,Produce,Vegetables,4,18.72
1884,2022,8769,M,M,Y,3,$70K - $90K,Yakima,WA,USA,Food,Baked Goods,Bread,4,14.88
1885,2022,976,F,M,Y,5,$70K - $90K,Spokane,WA,USA,Food,Baking Goods,Baking Goods,5,2.33
1886,2022,5018,M,M,Y,3,$50K - $70K,Los Angeles,CA,USA,Food,Frozen Foods,Frozen Desserts,4,30.58
1887,2022,7446,M,M,N,1,$30K - $50K,Salem,OR,USA,Food,Snack Foods,Snack Foods,4,16.44
1888,2022,5528,F,S,N,2,$10K - $30K,San Diego,CA,USA,Food,Baking Goods,Jams and Jellies,3,5.54
1889,2022,329,F,S,N,2,$30K - $50K,Los Angeles,CA,USA,Non-Consumable,Household,Electrical,4,35.52
1890,2022,5748,M,M,Y,3,$50K - $70K,Los Angeles,CA,USA,Food,Snack Foods,Snack Foods,4,6.16
1891,2022,3942,M,S,Y,3,$10K - $30K,Seattle,WA,USA,Food,Produce,Fruit,6,26.68
1892,2022,4391,F,M,Y,3,$30K - $50K,Spokane,WA,USA,Food,Dairy,Dairy,4,7.21
1893,2022,5954,M,S,N,2,$30K - $50K,Los Angeles,CA,USA,Food,Snack Foods,Snack Foods,3,8.3
1894,2022,3282,F,M,Y,5,$50K - $70K,Beverly Hills,CA,USA,Non-Consumable,Household,Paper Products,3,22.54
1895,2022,1580,F,S,N,4,$10K - $30K,Seattle,WA,USA,Food,Produce,Vegetables,3,4.42
1896,2022,8731,F,M,N,1,$50K - $70K,Bremerton,WA,USA,Food,Snack Foods,Snack Foods,4,11.7
1897,2022,8966,F,S,N,3,$50K - $70K,Bremerton,WA,USA,Food,Breakfast Foods,Breakfast Foods,5,4.68
1898,2022,7862,M,M,Y,4,$30K - $50K,Spokane,WA,USA,Food,Dairy,Dairy,6,26.43
1899,2022,3977,F,S,N,2,$30K - $50K,Salem,OR,USA,Food,Canned Foods,Canned Tuna,3,18.28
1900,2022,8291,F,M,Y,2,$30K - $50K,Salem,OR,USA,Food,Produce,Vegetables,3,6.23
1901,2022,7611,F,M,N,2,$50K - $70K,Los Angeles,CA,USA,Food,Produce,Fruit,4,4.23
1902,2022,921,M,S,Y,5,$70K - $90K,Yakima,WA,USA,Non-Consumable,Health and Hygiene,Pain Relievers,6,11.14
1903,2022,9900,M,S,Y,5,$10K - $30K,Seattle,WA,USA,Food,Dairy,Dairy,4,27
1904,2022,3101,M,M,Y,3,$70K - $90K,Portland,OR,USA,Food,Eggs,Eggs,4,7.81
1905,2022,4515,M,S,Y,1,$30K - $50K,Seattle,WA,USA,Food,Breakfast Foods,Breakfast Foods,3,20.45
1906,2022,8175,M,M,N,5,$110K - $130K,Seattle,WA,USA,Food,Snack Foods,Snack Foods,6,11.4
1907,2022,10147,M,M,Y,5,$130K - $150K,Los Angeles,CA,USA,Non-Consumable,Health and Hygiene,Bathroom Products,6,17.14
1908,2022,9213,M,S,Y,3,$70K - $90K,Portland,OR,USA,Food,Frozen Foods,Meat,4,22.13
1909,2022,6288,F,S,Y,1,$10K - $30K,Salem,OR,USA,Food,Produce,Fruit,3,5.04
1910,2022,790,M,S,N,2,$30K - $50K,Salem,OR,USA,Food,Canned Foods,Vegetables,3,10.32
1911,2022,7989,F,M,Y,2,$10K - $30K,Tacoma,WA,USA,Food,Canned Foods,Canned Soup,3,3.04
1912,2022,3010,M,S,Y,3,$90K - $110K,Beverly Hills,CA,USA,Food,Snack Foods,Snack Foods,5,14.11
1913,2022,9662,M,S,N,3,$50K - $70K,Beverly Hills,CA,USA,Food,Snack Foods,Snack Foods,3,10.38
1914,2022,7701,F,M,Y,4,$50K - $70K,Seattle,WA,USA,Food,Frozen Foods,Vegetables,2,4.92
